iter	Passed	Remaining
396	1386	2105
397	1389	2102
398	1393	2098
399	1396	2094
400	1400	2091
401	1403	2088
402	1407	2084
403	1410	2081
404	1414	2077
405	1417	2074
406	1421	2070
407	1425	2068
408	1430	2067
409	1433	2063
410	1437	2059
411	1440	2055
412	1443	2051
413	1447	2048
414	1450	2044
415	1453	2041
416	1457	2038
417	1461	2034
418	1464	2031
419	1467	2027
420	1471	2023
421	1474	2019
422	1477	2015
423	1481	2012
424	1485	2009
425	1488	2005
426	1491	2001
427	1494	1997
428	1497	1993
429	1501	1989
430	1506	1988
431	1509	1985
432	1512	1980
433	1515	1976
434	1519	1973
