,0
215,-71.71199869723999
216,-25.775948944996813
217,-6.716662737106119
218,250.06961395950978
219,19.227077959687488
220,-85.37500447990632
221,33.251947149351444
222,-29.684941831086693
223,20.93170864051139
224,-14.846733849027029
225,-8.761076181257122
226,56.46099227118332
227,-84.16615841671722
228,-70.94138084942301
229,-52.30499985221725
230,-37.944615495953045
231,-9.212313955816587
232,-62.77062304231494
233,-85.50580229565357
234,-27.89017832914597
235,-80.92794430127344
236,31.670124384801117
237,-49.13298680694069
238,-49.318799303221596
239,-53.948414448308554
240,-6.756169578380231
241,-85.28286123500651
242,-64.2504536804122
243,-73.08622442669804
244,-51.53546443680274
245,78.83678362371134
246,-7.301077815998903
247,-67.48382898860939
248,-65.6552163884161
249,-84.79652596010621
250,65.4091161265264
251,-40.82646521371075
252,92.42591495134647
253,-37.399576646703885
254,-29.337566470771428
255,-24.359012095775203
256,-88.14361951307257
257,16.83053937682895
258,-14.350028088790726
259,23.14011527814659
260,-86.12187439449445
261,-80.12571044953549
262,-59.433066227025336
263,122.22745133245826
264,7.419412839577061
265,-31.082162440117894
266,-81.02764219561394
267,-78.02174259980184
268,217.09551069297237
269,37.296916291396506
270,-68.35574092573715
271,-57.55473476392243
272,74.90189994272912
273,-28.893329376576233
274,-65.9369036454386
275,23.289992685394616
276,154.0776889322622
277,-51.61073867082148
278,-73.94320268375913
279,-46.202242302113724
280,-40.800734248701275
281,-44.612157319558
282,82.99683147000995
283,-22.02696032607365
284,27.290201394311413
285,-86.13928560012589
286,-3.8311706384395854
287,-17.38865213335953
288,-73.03426120645128
289,158.93739247785953
290,-4.541254416664954
291,-79.31045734561152
292,43.56451790411174
293,14.679381371942121
294,33.21827641077229
295,80.53687436593223
296,-43.58882822977361
297,88.84727958360796
298,-58.21267551552278
299,-82.8321041627786
300,-47.93820501957779
301,101.89591082063599
302,-16.028918917712776
303,103.54285095623032
304,-75.19877162559378
305,-67.03947951576295
306,-24.65311584605016
307,11.11248291544985
308,-2.486232014118992
309,-49.2071044221089
310,-67.65854447001523
311,-67.34794738972926
312,-61.81716772589626
313,65.74786533268829
314,-58.72054339705237
315,-59.25190653224568
